year,date,id,sex,lon,lat
2015,2015-09-01T00:00:00Z,BI406854 Z15-124 +,Hane,406229,6923952
2015,2015-09-02T00:00:00Z,BI406598 Y15-109,Hane,619421,6951859
2015,2015-09-02T00:00:00Z,BI407304 Z15-574,Hona,461196,6937213
2015,2015-08-30T00:00:00Z,BI041489 ZM-310,Hane,566432,6962456
2015,2015-09-02T00:00:00Z,BI041103 ZF-218,Hona,458855,6937458
2015,2015-09-03T00:00:00Z,BI407042 Z15-312,Hona,517835,7021508
2015,2015-08-28T00:00:00Z,BI407131 Z15-401,Hona,466025,6889999
2015,2015-09-01T00:00:00Z,BI406588 Y15-099,Hona,668480,7042004
2015,2015-09-02T00:00:00Z,BI041103 ZF-218,Hona,458039,6935911
2015,2015-08-31T00:00:00Z,BI406605 Y15-116 +,Hona,667967,7039981
2015,2015-09-02T00:00:00Z,BI041047 ZF-157,Hona,522145,7056488
2015,2015-09-02T00:00:00Z,BI406558 Y15-069,Hane,542979,6937115
2015,2015-09-02T00:00:00Z,BI041054 ZF-163 Z15-643,Hona,538180,7029986
2015,2015-09-02T00:00:00Z,BI407317 Z15-587 +,Hane,442956,7004968
2015,2015-09-01T00:00:00Z,BI406600 Y15-111,Hane,660083,7028020
2015,2015-09-02T00:00:00Z,BI406607 Y15-118,Hona,679014,7059161
2015,2015-09-02T00:00:00Z,BI407102 Z15-372,Hona,558219,7008698
2015,2015-09-02T00:00:00Z,BI407192 Z15-462 +,Hona,491785,6882134
2015,2015-09-02T00:00:00Z,BI041387 ZM-192,Hane,486897,6905613
2015,2015-09-02T00:00:00Z,BI407107 Z15-377,Hona,559203,7008433
2015,2015-09-01T00:00:00Z,BI406601 Y15-112 +,Hona,523734,6938442
2015,2015-09-03T00:00:00Z,BI401054 ZM-117 NT54 +,Hane,505679,7106293
2015,2015-09-02T00:00:00Z,BI407368 Z15-638,Hona,486927,6878832
2015,2015-08-22T00:00:00Z,BI407251 Z15-521 +,Hane,541898,7024400
2015,2015-08-24T00:00:00Z,BI406629 Y15-140,Hona,648349,7005929
2015,2015-08-21T00:00:00Z,BI406556 Y15-067,Hane,658069,7048027
2015,2015-08-23T00:00:00Z,BI406601 Y15-112 +,Hona,523051,6939007
2015,2015-08-22T00:00:00Z,BI406558 Y15-069,Hane,531448,6942391
2015,2015-08-21T00:00:00Z,BI406638 Y15-149 +,Hane,573797,6931797
